NEnr.;IDSecteur;IDChapitre;CodeChapitre;Libelle;LibelleAng;Responsable;Ministere;Objectifs;Description;Strategie
1;00;0000;0;INSTITUTION;;;INSTITUTION;;;
26;08;0810;10;MARCHES PUBLICS;;;MINISTERE DES MARCHES PUBLICS;;;
5;02;0212;12;SURETE NATIONALE;;;DELEGATION GENERALE DE LA SURETE NATIONALE;;;
6;02;0213;13;DEFENSE;;;MINISTERE DE LA DEFENSE;;;
17;05;0514;14;ARTS ET CULTURE;;;MINISTERE DES ARTS ET DE LA CULTURE;;;
12;04;0415;15;EDUCATION DE BASE;;;MINISTERE DE L'EDUCATION DE BASE;;;
18;05;0516;16;SPORTS ET EDUCATION PHYSIQUE;;;MINISTERE DES SPORTS ET DE L'EDUCATION PHYSIQUE;;;
19;05;0517;17;COMMUNICATION;;;MINISTERE DE LA COMMUNICATION;;;
13;04;0418;18;ENSEIGNEMENT SUPERIEUR;;;MINISTERE DE L'ENSEIGNEMENT SUPERIEUR;;;
14;04;0419;19;RECHERCHE SCIENTIFIQUE ET L'INNOVATION;;;MINISTERE DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION;;;
9;03;0320;20;FINANCES;;;MINISTERE DES FINANCES;;;
33;09;0921;21;COMMERCE;;;MINISTERE DU COMMERCE;;;
10;03;0322;22;ECONOMIE, PLANIFICATION ET AMENAGEMENT DU TERRITOIRE;;;MINISTERE DE L'ECONOMIE,DE LA PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE;;;
20;05;0523;23;TOURISME ET LOISIRS;;;MINISTERE DU TOURISME ET DES LOISIRS;;;
15;04;0425;25;ENSEIGNEMENT SECONDAIRE;;;DELEGATION GENERALE DE LA SURETE NATIONALE;;;
16;04;0426;26;JEUNESSE ET EDUCATION CIVIQUE;;;MINISTERE DE LA JEUNESSE ET DE L'EDUCATION CIVIQUE;;;
37;03;0327;27;DECENTRALISATION ET DEVELOPPEMENT LOCAL;;;MINISTERE DE LA DECENTRALISATION ET DEVELOPPEMENT LOCAL;;;
2;00;0028;28;ENVIRONNEMENT ET PROTECTION DE LA NATURE ET DU DEVELOPPEMENT;;;MINISTERE DE L'ENVIRONNEMENT, DE LA PROTECTION DE LA NATURE ET DU DEVELOPPEMENT DURABLE;;;
27;08;0829;29;MINES, INDUSTRIE ET DEVELOPPEMENT TECHNOLOGIQUE;;;MINISTERE DES MINES, INDUSTRIE ET DEVELOPPEMENT TECHNOLOGIQUE;;;
34;09;0930;30;AGRICULTURE ET DEVELOPPEMENT RURAL;;;MINISTERE DE L'AGRICULTURE ET DEVELOPPEMENT RURAL;;;
35;09;0931;31;ELEVAGE, PeCHE ET INDUSTRIES ANIMALES;;;MINISTERE DE L'ELEVAGE, PeCHE ET INDUSTRIES ANIMALES;;;
28;08;0832;32;EAU ET ENERGIE;;;MINISTERE DE L'EAU ET ENERGIE;;;
3;00;0033;33;FORETS ET FAUNE;;;MINISTERE DES FORETS ET DE LA FAUNE;;;
23;07;0735;35;EMPLOI ET FORMATION PROFFESSIONNELLE;;;MINISTERE DE L'EMPLOI ET FORMATION PROFFESSIONNELLE;;;
29;08;0836;36;TRAVAUX PUBLICS;;;MINISTERE DES TRAVAUX PUBLICS;;;
30;08;0837;37;DOMAINES, CADASTRE ET AFFAIRES FONCIERES;;;MINISTERE DES DOMAINES, CADASTRE ET AFFAIRES FONCIERES;;;
31;08;0838;38;HABITAT ET DEVELOPPEMENT URBAIN;;;MINISTERE DE L'HABITAT ET DEVELOPPEMENT URBAIN;;;
36;09;0939;39;PETITES ET MOYENNES ENTREPRISES;;;MINISTERE DES PETITES ET MOYENNES ENTREPRISES;;;
22;06;0640;40;SANTE PUBLIQUE;;;MINISTERE DE LA SANTE PUBLIQUE;;;
24;07;0741;41;TRAVAIL ET SECURITE SOCIALE;;;MINISTERE DU TRAVAIL ET SECURITE SOCIALE;;;
25;07;0742;42;AFFAIRES SOCIALES;;;MINISTERE DES AFFAIRES SOCIALES;;;
7;02;0243;43;PROMOTION DE LA FEMME ET DE LA FAMILLE;;;MINISTERE  DE LA PROMOTION DE LA FEMME ET DE LA FAMILLE;;;
21;05;0545;45;POSTES ET TELECOMMUNICATIONS;;;MINISTERE DES POSTES ET TELECOMMUNICATIONS;;;
32;08;0846;46;TRANSPORTS;;;MINISTERE DES TRANSPORTS;;;
11;03;0350;50;FONCTION PUBLIQUE ET REFORME ADMINISTRATIVE;;;MINISTERE DE LA FONCTION PUBLIQUE ET REFORME ADMINISTRATIVE;;;
8;03;0307;7;ADMINISTRATION TERRITORIALE;;;MINISTERE DE L'ADMINISTRATION TERRITORIALE ;;;
4;01;0108;8;JUSTICE;;;MINISTERE DE LA JUSTICE;;;
