NEnr;Ressource;IDRessource;NomUsuel;NomScientifique;NomCommercial;IDTypesRessouces
60;Bambou de chine;60;;;;0
59;Bas-fond   -Raphia ;59;;;;0
57;Bas-fond   -Raphia -Cours deeau ;57;;;;0
30;Bas fonds ;30;;;;0
25;Carriere deargile blanche;25;;;;0
24;Carriere de Pouzzolane;24;;;;0
29;Carrieres de pierres;29;;;;0
23;Carrieres  de  sable;23;;;;0
52;Chutes d'eau;52;;;;0
58;Chutes de Maffo Nefouck ;58;;;;0
41;Climat;41;;;;0
48;Collines;48;;;;0
21;Conditions naturelles;21;;;;0
55;Cours deeau;55;;;;0
27;Cours deeau poissonneux;27;;;;0
1;Cultures de rente (cafe, cacao, palmier e huile);1;;;;0
2;Cultures vivrieres (manioc, taro,macabo, arachide, igname);2;;;;0
15;Dynamisme  de  la  population;15;;;;0
4;Existence de nombreux sites touristiques;4;;;;0
44;Faune;44;;;;0
22;Financement des activites de developpement;22;;;;0
36;Fleuve ;36;;;;0
45;Flore;45;;;;0
11;Flore et Faune;11;;;;0
18;Foret dense et marecages;18;;;;0
26;Forets;26;;;;0
6;Fortes Ressources humaines ;6;;;;0
7;Forte tradition culturelle;7;;;;0
10;Fort potentiel hydrographique;10;;;;0
17;Graviers et pierres;17;;;;0
64;Grottes;64;;;;0
43;Hydrographie;43;;;;0
54;Jacheres;54;;;;0
51;Lacs;51;;;;0
34;Lateritique ;34;;;;0
33;Marecages ;33;;;;0
62;Massif rocheux;62;;;;0
49;Mayo et lacs;49;;;;0
63;Monts;63;;;;0
13;Passage de la Provinciale 17 ;13;;;;0
31;Plateau ;31;;;;0
12;Potentiel  touristique;12;;;;0
40;Produits forestiers non ligneux ;40;;;;0
61;Raphia;61;;;;0
42;Relief;42;;;;0
8;Ressources minieres;8;;;;0
39;Ressources naturelles;39;;;;0
35;Rivieres;35;;;;0
56;Rochers;56;;;;0
3;Sable, pierre (granite), laterite;3;;;;0
32;Savane ;32;;;;0
38;Services d'encadrement technique;38;;;;0
37;Sites naturels ;37;;;;0
20;Sols;20;;;;0
5;Sols ferralitiques constitues de roches metamorphiques (gneiss, quartz ;5;;;;0
53;Sources d'eau naturelles;53;;;;0
14;Structures deaccueil ;14;;;;0
16;Terres cultivables;16;;;;0
28;Terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;28;;;;0
9;Vastes  etendues  de  terre ;9;;;;0
46;Vegetattion;46;;;;0
50;Zone de peturage;50;;;;0
47;Zone de polyculture;47;;;;0
19;Zones de cours deeau;19;;;;0
